Danh mục ngành	
9620304	Khai thác thuỷ sản
9620305	Quản lý thủy sản
9640101	Thú y
9640102	Bệnh lý học và chữa bệnh vật nuôi
9640104	Ký sinh trùng và vi sinh vật học thú y
9640106	Sinh sản và bệnh sinh sản gia súc
9640108	Dịch tễ học thú y
9720101	Khoa học y sinh
9720102	Gây mê hồi sức
9720103	Hồi sức cấp cứu và chống độc
9720104	Ngoại khoa
9720105	Sản phụ khoa
9720106	Nhi khoa
9720107	Nội khoa
9720108	Ung thư
9720109	Bệnh truyền nhiễm và các bệnh nhiệt đới
9720110	Y học dự phòng
9720111	Điện quang và y học hạt nhân
9720115	Y học cổ truyền
9720117	Dịch tễ học
9720118	Dược lý và độc chất
9720119	Phẫu thuật tạo hình, tái tạo và thẩm mỹ
9720155	Tai - Mũi - Họng
9720157	Mắt (Nhãn khoa)
9720158	Khoa học thần kinh
9720202	Công nghệ dược phẩm và bào chế thuốc
9720203	Hóa dược
9720205	Dược lý và dược lâm sàng
9720206	Dược liệu - Dược học cổ truyền
9720208	Hóa sinh dược
9720210	Kiểm nghiệm thuốc và độc chất
9720212	Tổ chức quản lý dược
9720301	Điều dưỡng
9720302	Hộ sinh
9720401	Dinh dưỡng
9720501	Răng - Hàm - Mặt
9720601	Kỹ thuật xét nghiệm y học
9720602	Kỹ thuật hình ảnh y học
9720603	Kỹ thuật phục hồi chức năng
9720701	Y tế công cộng
9720801	Quản lý Y tế
9720802	Quản lý bệnh viện
9760101	Công tác xã hội
9810101	Du lịch
9840103	Tổ chức và quản lý vận tải
9840106	Khoa học hàng hải
9850101	Quản lý tài nguyên và môi trường
9850103	Quản lý đất đai
9860101	Trinh sát an ninh
9860102	Trinh sát cảnh sát
9860103	Trinh sát kỹ thuật
9860104	Điều tra hình sự
9860107	Kỹ thuật Công an nhân dân
9860108	Kỹ thuật hình sự
9860109	Quản lý nhà nước về an ninh trật tự
9860110	Quản lý trật tự an toàn giao thông
9860111	Thi hành án hình sự và hỗ trợ tư pháp
9860112	Tham mưu, chỉ huy công an nhân dân
9860113	Phòng cháy chữa cháy và cứu nạn cứu hộ
9860116	Hậu cần công an nhân dân
9860117	Tình báo an ninh
9860209	Lịch sử nghệ thuật quân sự
9860210	Chiến lược quân sự
9860211	Chiến lược quốc phòng
9860212	Nghệ thuật chiến dịch
9860213	Chiến thuật
9860214	Biên phòng
9860215	Biên phòng
9860216	Quản lý biên giới và cửa khẩu
9860217	Tình báo quân sự
9860218	Hậu cần quân sự
9860220	Chỉ huy, quản lý kỹ thuật
9860221	Trinh sát quân sự
9900202	Biến đổi khí hậu và phát triển bền vững
9900205	Di sản học
DHT154	Quản trị và phân tích dữ liệu
HTC1207	Kế toán - Kiểm soát - Kiểm toán
HTC737	Tài chính doanh nghiệp và và kiểm soát quản trị
HTC753	Bảo hiểm -  Ngân hàng - Tài chính
HTC758	Bảo hiểm - Ngân hàng - Tài chính
khac	Khác
